コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.0
タヌキの2021
牡　1/1生　ぶち毛
父：ホンドタヌキのオス
母：エゾタヌキのメス
母父：老タヌキ
販売者：たぬき動物園",0,タヌキの2021,牡,1/1,ぶち,ホンドタヌキのオス,エゾタヌキのメス,老タヌキ,たぬき動物園,タヌキドウブツエン,たぬき動物園
"No.1
サマーハの2021
牡　3/3生　鹿毛
父：リアルスティール
母：サマーハ
母父：Singspiel
販売者：(有)ノーザンレーシング",1,サマーハの2021,牡,3/3,鹿,リアルスティール,サマーハ,Singspiel,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.2
シンハディーパの2021
牡　3/10生　栗毛
父：レイデオロ
母：シンハディーパ
母父：ウォーエンブレム
販売者：(有)ノーザンレーシング",2,シンハディーパの2021,牡,3/10,栗,レイデオロ,シンハディーパ,ウォーエンブレム,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.3
ランニングボブキャッツの2021
めす　2/6生　鹿毛
父：ドレフォン
母：ランニングボブキャッツ
母父：Running Stag
販売者：ノーザンファーム",3,ランニングボブキャッツの2021,めす,2/6,鹿,ドレフォン,ランニングボブキャッツ,Running Stag,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.4
ティファニーズオナーの2021
牡　1/21生　黒鹿毛
父：キズナ
母：ティファニーズオナー
母父：Street Cry
販売者：ノーザンファーム",4,ティファニーズオナーの2021,牡,1/21,黒鹿,キズナ,ティファニーズオナー,Street Cry,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.5
オーロラエンブレムの2021
めす　3/28生　鹿毛
父：ハービンジャー
母：オーロラエンブレム
母父：ディープインパクト
販売者：(有)ノーザンレーシング",5,オーロラエンブレムの2021,めす,3/28,鹿,ハービンジャー,オーロラエンブレム,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.6
ジャドールの2021
牡　4/14生　青鹿毛
父：ブリックスアンドモルタル
母：ジャドール
母父：フジキセキ
販売者：社台ファーム",6,ジャドールの2021,牡,4/14,青鹿,ブリックスアンドモルタル,ジャドール,フジキセキ,社台ファーム,シャダイファーム,社台ファーム
"No.7
レディマカパの2021
牡　3/17生　鹿毛
父：ダイワメジャー
母：レディマカパ
母父：Equiano
販売者：追分ファーム",7,レディマカパの2021,牡,3/17,鹿,ダイワメジャー,レディマカパ,Equiano,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.8
メジロシャレードの2021
牡　3/2生　黒鹿毛
父：ルーラーシップ
母：メジロシャレード
母父：マンハッタンカフェ
販売者：(株)レイクヴィラファーム",8,メジロシャレードの2021,牡,3/2,黒鹿,ルーラーシップ,メジロシャレード,マンハッタンカフェ,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.9
アウェイクの2021
牡　2/26生　鹿毛
父：エピファネイア
母：アウェイク
母父：ディープインパクト
販売者：(有)ノーザンレーシング",9,アウェイクの2021,牡,2/26,鹿,エピファネイア,アウェイク,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.10
エミーズパラダイスの2021
めす　3/31生　鹿毛
父：ミッキーアイル
母：エミーズパラダイス
母父：フサイチコンコルド
販売者：社台ファーム",10,エミーズパラダイスの2021,めす,3/31,鹿,ミッキーアイル,エミーズパラダイス,フサイチコンコルド,社台ファーム,シャダイファーム,社台ファーム
"No.11
ウィープノーモアの2021
牡　2/7生　鹿毛
父：ドゥラメンテ
母：ウィープノーモア
母父：Mineshaft
販売者：ノーザンファーム",11,ウィープノーモアの2021,牡,2/7,鹿,ドゥラメンテ,ウィープノーモア,Mineshaft,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.12
欠場
　生　毛
父：
母：
母父：
販売者：",12,欠場,,,,,,,,,
"No.13
ナレラの2021
牡　4/9生　芦毛
父：イスラボニータ
母：ナレラ
母父：Reliable Man
販売者：社台ファーム",13,ナレラの2021,牡,4/9,芦,イスラボニータ,ナレラ,Reliable Man,社台ファーム,シャダイファーム,社台ファーム
"No.14
リリーズキャンドルの2021
めす　4/8生　芦毛
父：ロードカナロア
母：リリーズキャンドル
母父：Style Vendome
販売者：(有)ノーザンレーシング",14,リリーズキャンドルの2021,めす,4/8,芦,ロードカナロア,リリーズキャンドル,Style Vendome,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.15
キトゥンズダンプリングスの2021
牡　4/23生　黒鹿毛
父：キズナ
母：キトゥンズダンプリングス
母父：Kitten's Joy
販売者：社台ファーム",15,キトゥンズダンプリングスの2021,牡,4/23,黒鹿,キズナ,キトゥンズダンプリングス,Kitten's Joy,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.16
ウイングステルスの2021
牡　4/20生　鹿毛
父：サトノダイヤモンド
母：ウイングステルス
母父：Hawk Wing
販売者：(有)ノーザンレーシング",16,ウイングステルスの2021,牡,4/20,鹿,サトノダイヤモンド,ウイングステルス,Hawk Wing,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.17
モナリザの2021
めす　2/15生　栗毛
父：ドレフォン
母：モナリザ
母父：Giant's Causeway
販売者：(株)チャンピオンズファーム",17,モナリザの2021,めす,2/15,栗,ドレフォン,モナリザ,Giant's Causeway,(株)チャンピオンズファーム,チャンピオンズファーム,(株)チャンピオンズファーム
"No.18
メジロマリアンの2021
牡　4/11生　鹿毛
父：レイデオロ
母：メジロマリアン
母父：メジロベイリー
販売者：(株)レイクヴィラファーム",18,メジロマリアンの2021,牡,4/11,鹿,レイデオロ,メジロマリアン,メジロベイリー,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.19
トゥリフォーの2021
めす　2/16生　鹿毛
父：モーリス
母：トゥリフォー
母父：Frankel
販売者：(有)ノーザンレーシング",19,トゥリフォーの2021,めす,2/16,鹿,モーリス,トゥリフォー,Frankel,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.20
ノットオーソリティの2021
牡　5/20生　芦毛
父：パイロ
母：ノットオーソリティ
母父：スウェプトオーヴァーボード
販売者：社台ファーム",20,ノットオーソリティの2021,牡,5/20,芦,パイロ,ノットオーソリティ,スウェプトオーヴァーボード,社台ファーム,シャダイファーム,社台ファーム
"No.21
スピードリッパーの2021
牡　3/10生　鹿毛
父：ルーラーシップ
母：スピードリッパー
母父：ファルブラヴ
販売者：ノーザンファーム",21,スピードリッパーの2021,牡,3/10,鹿,ルーラーシップ,スピードリッパー,ファルブラヴ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.22
チョコレートバインの2021
めす　5/1生　栗毛
父：ドゥラメンテ
母：チョコレートバイン
母父：ディープインパクト
販売者：社台ファーム",22,チョコレートバインの2021,めす,5/1,栗,ドゥラメンテ,チョコレートバイン,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.23
ジェットセッティングの2021
牡　5/10生　栗毛
父：Frankel
母：ジェットセッティング
母父：Fast Company
販売者：(有)ノーザンレーシング",23,ジェットセッティングの2021,牡,5/10,栗,Frankel,ジェットセッティング,Fast Company,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.24
レッドリヴェールの2021
牡　2/23生　鹿毛
父：モーリス
母：レッドリヴェール
母父：ステイゴールド
販売者：社台ファーム",24,レッドリヴェールの2021,牡,2/23,鹿,モーリス,レッドリヴェール,ステイゴールド,社台ファーム,シャダイファーム,社台ファーム
"No.25
トレジャリングの2021
めす　1/28生　鹿毛
父：リアルスティール
母：トレジャリング
母父：Havana Gold
販売者：(有)ノーザンレーシング",25,トレジャリングの2021,めす,1/28,鹿,リアルスティール,トレジャリング,Havana Gold,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.26
オメガフレグランスの2021
牡　6/7生　鹿毛
父：エピファネイア
母：オメガフレグランス
母父：ゴールドアリュール
販売者：岡田スタッド",26,オメガフレグランスの2021,牡,6/7,鹿,エピファネイア,オメガフレグランス,ゴールドアリュール,岡田スタッド,オカダスタッド,岡田スタッド
"No.27
カトマンブルーの2021
めす　4/28生　青鹿毛
父：キタサンブラック
母：カトマンブルー
母父：Bluegrass Cat
販売者：社台ファーム",27,カトマンブルーの2021,めす,4/28,青鹿,キタサンブラック,カトマンブルー,Bluegrass Cat,社台ファーム,シャダイファーム,社台ファーム
"No.28
メジロジェニファーの2021
牡　3/11生　鹿毛
父：ダイワメジャー
母：メジロジェニファー
母父：ホワイトマズル
販売者：(株)レイクヴィラファーム",28,メジロジェニファーの2021,牡,3/11,鹿,ダイワメジャー,メジロジェニファー,ホワイトマズル,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.29
リミニの2021
牡　1/27生　鹿毛
父：ドレフォン
母：リミニ
母父：ディープインパクト
販売者：(有)ノーザンレーシング",29,リミニの2021,牡,1/27,鹿,ドレフォン,リミニ,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.30
ノッテビアンカの2021
牡　2/5生　栗毛
父：ゴールドシップ
母：ノッテビアンカ
母父：Kendargent
販売者：社台ファーム",30,ノッテビアンカの2021,牡,2/5,栗,ゴールドシップ,ノッテビアンカ,Kendargent,社台ファーム,シャダイファーム,社台ファーム
"No.31
ベルアリュールⅡの2021
めす　3/1生　栗毛
父：スワーヴリチャード
母：ベルアリュールⅡ
母父：Numerous
販売者：ノーザンファーム",31,ベルアリュールⅡの2021,めす,3/1,栗,スワーヴリチャード,ベルアリュールⅡ,Numerous,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.32
サボールアトリウンフォの2021
牡　2/14生　黒鹿毛
父：キズナ
母：サボールアトリウンフォ
母父：Dance Brightly
販売者：社台ファーム",32,サボールアトリウンフォの2021,牡,2/14,黒鹿,キズナ,サボールアトリウンフォ,Dance Brightly,社台ファーム,シャダイファーム,社台ファーム
"No.33
ケンジントンⅡの2021
めす　3/28生　黒鹿毛
父：ドレフォン
母：ケンジントンⅡ
母父：Kitten's Joy
販売者：(有)浜本牧場（共有代表）",33,ケンジントンⅡの2021,めす,3/28,黒鹿,ドレフォン,ケンジントンⅡ,Kitten's Joy,(有)浜本牧場（共有代表）,ハマモトボクジョウ,カルペディエム　メイド
"No.34
フォースタークルックの2021
牡　3/23生　栗毛
父：ドゥラメンテ
母：フォースタークルック
母父：Freud
販売者：(有)ノーザンレーシング",34,フォースタークルックの2021,牡,3/23,栗,ドゥラメンテ,フォースタークルック,Freud,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.35
オメガセニョリーナの2021
めす　4/25生　鹿毛
父：エピファネイア
母：オメガセニョリーナ
母父：アグネスタキオン
販売者：社台ファーム",35,オメガセニョリーナの2021,めす,4/25,鹿,エピファネイア,オメガセニョリーナ,アグネスタキオン,社台ファーム,シャダイファーム,社台ファーム
"No.36
ウィキッドリーパーフェクトの2021
牡　4/13生　芦毛
父：サトノダイヤモンド
母：ウィキッドリーパーフェクト
母父：Congrats
販売者：ノーザンファーム",36,ウィキッドリーパーフェクトの2021,牡,4/13,芦,サトノダイヤモンド,ウィキッドリーパーフェクト,Congrats,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.37
レーヌドブリエの2021
めす　3/10生　黒鹿毛
父：ブリックスアンドモルタル
母：レーヌドブリエ
母父：ゼンノロブロイ
販売者：(株)レイクヴィラファーム",37,レーヌドブリエの2021,めす,3/10,黒鹿,ブリックスアンドモルタル,レーヌドブリエ,ゼンノロブロイ,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.38
マーガレットメドウの2021
牡　3/8生　鹿毛
父：リアルスティール
母：マーガレットメドウ
母父：Distorted Humor
販売者：(有)千代田牧場",38,マーガレットメドウの2021,牡,3/8,鹿,リアルスティール,マーガレットメドウ,Distorted Humor,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.39
ティロレスカの2021
めす　2/12生　黒鹿毛
父：キズナ
母：ティロレスカ
母父：Roman Ruler
販売者：(有)ノーザンレーシング",39,ティロレスカの2021,めす,2/12,黒鹿,キズナ,ティロレスカ,Roman Ruler,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.40
ジュエルオブナイルの2021
牡　2/9生　黒鹿毛
父：ニューイヤーズデイ
母：ジュエルオブナイル
母父：デュランダル
販売者：社台ファーム",40,ジュエルオブナイルの2021,牡,2/9,黒鹿,ニューイヤーズデイ,ジュエルオブナイル,デュランダル,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.41
コンクエストハーラネイトの2021
めす　5/1生　栗毛
父：レイデオロ
母：コンクエストハーラネイト
母父：Harlan's Holiday
販売者：(有)下河辺牧場",41,コンクエストハーラネイトの2021,めす,5/1,栗,レイデオロ,コンクエストハーラネイト,Harlan's Holiday,(有)下河辺牧場,シモコウベボクジョウ,(有)下河辺牧場
"No.42
インクルードベティの2021
牡　1/23生　黒鹿毛
父：ハーツクライ
母：インクルードベティ
母父：Include
販売者：(有)ノーザンレーシング",42,インクルードベティの2021,牡,1/23,黒鹿,ハーツクライ,インクルードベティ,Include,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.43
アルティマチャームの2021
牡　4/24生　鹿毛
父：スワーヴリチャード
母：アルティマチャーム
母父：キングカメハメハ
販売者：社台ファーム",43,アルティマチャームの2021,牡,4/24,鹿,スワーヴリチャード,アルティマチャーム,キングカメハメハ,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.44
ラシンティランテの2021
めす　1/29生　鹿毛
父：エピファネイア
母：ラシンティランテ
母父：アグネスタキオン
販売者：(有)ノーザンレーシング",44,ラシンティランテの2021,めす,1/29,鹿,エピファネイア,ラシンティランテ,アグネスタキオン,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.45
セータコローナの2021
めす　4/12生　栗毛
父：ダイワメジャー
母：セータコローナ
母父：Distorted Humor
販売者：社台ファーム",45,セータコローナの2021,めす,4/12,栗,ダイワメジャー,セータコローナ,Distorted Humor,社台ファーム,シャダイファーム,社台ファーム
"No.46
ラルケットの2021
牡　1/21生　黒鹿毛
父：レイデオロ
母：ラルケット
母父：ファルブラヴ
販売者：ノーザンファーム",46,ラルケットの2021,牡,1/21,黒鹿,レイデオロ,ラルケット,ファルブラヴ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.47
スパニッシュクイーンの2021
牡　2/1生　青鹿毛
父：ハーツクライ
母：スパニッシュクイーン
母父：Tribal Rule
販売者：追分ファーム",47,スパニッシュクイーンの2021,牡,2/1,青鹿,ハーツクライ,スパニッシュクイーン,Tribal Rule,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.48
メジロスプレンダーの2021
めす　1/18生　黒鹿毛
父：キズナ
母：メジロスプレンダー
母父：シンボリクリスエス
販売者：(株)レイクヴィラファーム",48,メジロスプレンダーの2021,めす,1/18,黒鹿,キズナ,メジロスプレンダー,シンボリクリスエス,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.49
フォエヴァーダーリングの2021
牡　2/24生　鹿毛
父：リアルスティール
母：フォエヴァーダーリング
母父：Congrats
販売者：(有)ノーザンレーシング",49,フォエヴァーダーリングの2021,牡,2/24,鹿,リアルスティール,フォエヴァーダーリング,Congrats,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.50
オータムフラワーの2021
牡　3/1生　鹿毛
父：オルフェーヴル
母：オータムフラワー
母父：Flower Alley
販売者：社台ファーム",50,オータムフラワーの2021,牡,3/1,鹿,オルフェーヴル,オータムフラワー,Flower Alley,社台ファーム,シャダイファーム,社台ファーム
"No.51
欠場
　生　毛
父：
母：
母父：
販売者：",51,欠場,,,,,,,,,
"No.52
ルモスティの2021
めす　4/18生　鹿毛
父：ロードカナロア
母：ルモスティ
母父：Fastnet Rock
販売者：(有)ノーザンレーシング",52,ルモスティの2021,めす,4/18,鹿,ロードカナロア,ルモスティ,Fastnet Rock,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.53
アンバーミニーの2021
牡　4/25生　鹿毛
父：マインドユアビスケッツ
母：アンバーミニー
母父：ダイワメジャー
販売者：社台ファーム",53,アンバーミニーの2021,牡,4/25,鹿,マインドユアビスケッツ,アンバーミニー,ダイワメジャー,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.54
ペイヴドの2021
牡　2/11生　黒鹿毛
父：キズナ
母：ペイヴド
母父：Quality Road
販売者：(株)ハクレイファーム",54,ペイヴドの2021,牡,2/11,黒鹿,キズナ,ペイヴド,Quality Road,(株)ハクレイファーム,ハクレイファーム,(株)ハクレイファーム
"No.55
ホームカミングクイーンの2021
牡　4/7生　鹿毛
父：モーリス
母：ホームカミングクイーン
母父：Holy Roman Emperor
販売者：(有)ノーザンレーシング",55,ホームカミングクイーンの2021,牡,4/7,鹿,モーリス,ホームカミングクイーン,Holy Roman Emperor,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.56
ビーチパラソルの2021
めす　3/5生　芦毛
父：ハービンジャー
母：ビーチパラソル
母父：ダイワメジャー
販売者：社台ファーム",56,ビーチパラソルの2021,めす,3/5,芦,ハービンジャー,ビーチパラソル,ダイワメジャー,社台ファーム,シャダイファーム,社台ファーム
"No.57
アルズギャルの2021
牡　3/11生　栗毛
父：カリフォルニアクローム
母：アルズギャル
母父：English Channel
販売者：(株)コスモビューティー",57,アルズギャルの2021,牡,3/11,栗,カリフォルニアクローム,アルズギャル,English Channel,(株)コスモビューティー,コスモビューティー,(有)目名共同トレーニングセンター
"No.58
コーステッドの2021
めす　1/19生　鹿毛
父：ダイワメジャー
母：コーステッド
母父：Tizway
販売者：ノーザンファーム",58,コーステッドの2021,めす,1/19,鹿,ダイワメジャー,コーステッド,Tizway,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.59
ピースオブラヴの2021
牡　3/26生　黒鹿毛
父：エピファネイア
母：ピースオブラヴ
母父：マイネルラヴ
販売者：(株)チャンピオンズファーム",59,ピースオブラヴの2021,牡,3/26,黒鹿,エピファネイア,ピースオブラヴ,マイネルラヴ,(株)チャンピオンズファーム,チャンピオンズファーム,(株)チャンピオンズファーム
"No.60
マイミスリリーの2021
めす　2/24生　芦毛
父：ロードカナロア
母：マイミスリリー
母父：Tapit
販売者：(株)レイクヴィラファーム",60,マイミスリリーの2021,めす,2/24,芦,ロードカナロア,マイミスリリー,Tapit,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.61
シャンパンルームの2021
牡　4/18生　鹿毛
父：キズナ
母：シャンパンルーム
母父：Broken Vow
販売者：(有)ノーザンレーシング",61,シャンパンルームの2021,牡,4/18,鹿,キズナ,シャンパンルーム,Broken Vow,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.62
ダンスアミーガの2021
牡　4/8生　鹿毛
父：ロードカナロア
母：ダンスアミーガ
母父：サクラバクシンオー
販売者：社台ファーム",62,ダンスアミーガの2021,牡,4/8,鹿,ロードカナロア,ダンスアミーガ,サクラバクシンオー,社台ファーム,シャダイファーム,社台ファーム
"No.63
シーヴの2021
牡　1/3生　鹿毛
父：ドゥラメンテ
母：シーヴ
母父：Mineshaft
販売者：(有)ノーザンレーシング",63,シーヴの2021,牡,1/3,鹿,ドゥラメンテ,シーヴ,Mineshaft,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.64
アレイヴィングビューティの2021
牡　2/16生　鹿毛
父：ハーツクライ
母：アレイヴィングビューティ
母父：Mastercraftsman
販売者：追分ファーム",64,アレイヴィングビューティの2021,牡,2/16,鹿,ハーツクライ,アレイヴィングビューティ,Mastercraftsman,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.65
ランドオーバーシーの2021
牡　4/14生　鹿毛
父：キタサンブラック
母：ランドオーバーシー
母父：Bellamy Road
販売者：社台ファーム",65,ランドオーバーシーの2021,牡,4/14,鹿,キタサンブラック,ランドオーバーシー,Bellamy Road,社台ファーム,シャダイファーム,社台ファーム
"No.66
マハーバーラタの2021
めす　1/26生　鹿毛
父：エピファネイア
母：マハーバーラタ
母父：ディープインパクト
販売者：(有)ノーザンレーシング",66,マハーバーラタの2021,めす,1/26,鹿,エピファネイア,マハーバーラタ,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.67
ジュリーハーツの2021
牡　4/9生　鹿毛
父：ドレフォン
母：ジュリーハーツ
母父：ハーツクライ
販売者：岡田スタッド",67,ジュリーハーツの2021,牡,4/9,鹿,ドレフォン,ジュリーハーツ,ハーツクライ,岡田スタッド,オカダスタッド,岡田スタッド
"No.68
ハラペーニョペパーの2021
めす　3/31生　芦毛
父：ニューイヤーズデイ
母：ハラペーニョペパー
母父：ゼンノロブロイ
販売者：社台ファーム",68,ハラペーニョペパーの2021,めす,3/31,芦,ニューイヤーズデイ,ハラペーニョペパー,ゼンノロブロイ,社台ファーム,シャダイファーム,社台ファーム
"No.69
スカイフの2021
牡　4/19生　鹿毛
父：スワーヴリチャード
母：スカイフ
母父：Siyouni
販売者：(有)ノーザンレーシング",69,スカイフの2021,牡,4/19,鹿,スワーヴリチャード,スカイフ,Siyouni,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.70
サマーソワレの2021
牡　5/21生　鹿毛
父：キズナ
母：サマーソワレ
母父：War Front
販売者：(有)千代田牧場",70,サマーソワレの2021,牡,5/21,鹿,キズナ,サマーソワレ,War Front,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.71
デックドアウトの2021
牡　2/11生　栗毛
父：ドゥラメンテ
母：デックドアウト
母父：Street Boss
販売者：(株)レイクヴィラファーム",71,デックドアウトの2021,牡,2/11,栗,ドゥラメンテ,デックドアウト,Street Boss,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.72
マルシアーノの2021
めす　3/2生　青鹿毛
父：レイデオロ
母：マルシアーノ
母父：フジキセキ
販売者：(有)ノーザンレーシング",72,マルシアーノの2021,めす,3/2,青鹿,レイデオロ,マルシアーノ,フジキセキ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.73
ユッカマウンテンの2021
牡　4/17生　栗毛
父：エピファネイア
母：ユッカマウンテン
母父：アグネスタキオン
販売者：社台ファーム",73,ユッカマウンテンの2021,牡,4/17,栗,エピファネイア,ユッカマウンテン,アグネスタキオン,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.74
オーロトラジェの2021
牡　2/24生　栗毛
父：ブリックスアンドモルタル
母：オーロトラジェ
母父：オルフェーヴル
販売者：吉田 俊介",74,オーロトラジェの2021,牡,2/24,栗,ブリックスアンドモルタル,オーロトラジェ,オルフェーヴル,吉田 俊介,ヨシダシュンスケ,ノーザンファームYearling
"No.75
ダヌスカズマイガールの2021
牡　4/17生　栗毛
父：ジャスタウェイ
母：ダヌスカズマイガール
母父：Shackleford
販売者：社台ファーム",75,ダヌスカズマイガールの2021,牡,4/17,栗,ジャスタウェイ,ダヌスカズマイガール,Shackleford,社台ファーム,シャダイファーム,社台ファーム
"No.76
モシーンの2021
牡　2/26生　鹿毛
父：モーリス
母：モシーン
母父：Fastnet Rock
販売者：(有)ノーザンレーシング",76,モシーンの2021,牡,2/26,鹿,モーリス,モシーン,Fastnet Rock,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.77
フォークレジェンドの2021
めす　4/9生　鹿毛
父：Yoshida
母：フォークレジェンド
母父：Tapizar
販売者：ＫＲジャパン",77,フォークレジェンドの2021,めす,4/9,鹿,Yoshida,フォークレジェンド,Tapizar,ＫＲジャパン,ケーアールジャパン,(有)浦河育成センター
"No.78
ヴィラの2021
牡　4/26生　鹿毛
父：ニューイヤーズデイ
母：ヴィラ
母父：ディープインパクト
販売者：(株)エクワインレーシング",78,ヴィラの2021,牡,4/26,鹿,ニューイヤーズデイ,ヴィラ,ディープインパクト,(株)エクワインレーシング,エクワインレーシング,ノーザンファームYearling
"No.79
ジペッサの2021
牡　4/25生　鹿毛
父：イスラボニータ
母：ジペッサ
母父：City Zip
販売者：社台ファーム",79,ジペッサの2021,牡,4/25,鹿,イスラボニータ,ジペッサ,City Zip,社台ファーム,シャダイファーム,社台ファーム
"No.80
プラウドスペルの2021
めす　3/20生　鹿毛
父：リアルスティール
母：プラウドスペル
母父：Proud Citizen
販売者：(有)ノーザンレーシング",80,プラウドスペルの2021,めす,3/20,鹿,リアルスティール,プラウドスペル,Proud Citizen,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.81
パンデリングの2021
めす　3/13生　黒鹿毛
父：エピファネイア
母：パンデリング
母父：キングカメハメハ
販売者：(株)レイクヴィラファーム",81,パンデリングの2021,めす,3/13,黒鹿,エピファネイア,パンデリング,キングカメハメハ,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.82
ドントテルソフィアの2021
牡　4/6生　鹿毛
父：ロードカナロア
母：ドントテルソフィア
母父：Congaree
販売者：(有)ノーザンレーシング",82,ドントテルソフィアの2021,牡,4/6,鹿,ロードカナロア,ドントテルソフィア,Congaree,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.83
エアシンフォニーの2021
牡　3/5生　黒鹿毛
父：キズナ
母：エアシンフォニー
母父：ルーラーシップ
販売者：社台ファーム（共有代表）",83,エアシンフォニーの2021,牡,3/5,黒鹿,キズナ,エアシンフォニー,ルーラーシップ,社台ファーム（共有代表）,シャダイファームキョウユウダイヒョウ,社台ファーム
"No.84
ペルヴィアンリリーの2021
めす　4/5生　鹿毛
父：サトノダイヤモンド
母：ペルヴィアンリリー
母父：フレンチデピュティ
販売者：ノーザンファーム",84,ペルヴィアンリリーの2021,めす,4/5,鹿,サトノダイヤモンド,ペルヴィアンリリー,フレンチデピュティ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.85
クィーンスプマンテの2021
牡　2/19生　栗毛
父：エピファネイア
母：クィーンスプマンテ
母父：ジャングルポケット
販売者：社台ファーム",85,クィーンスプマンテの2021,牡,2/19,栗,エピファネイア,クィーンスプマンテ,ジャングルポケット,社台ファーム,シャダイファーム,社台ファーム
"No.86
ビービーバーレルの2021
牡　3/6生　青鹿毛
父：リオンディーズ
母：ビービーバーレル
母父：パイロ
販売者：(有)坂東牧場",86,ビービーバーレルの2021,牡,3/6,青鹿,リオンディーズ,ビービーバーレル,パイロ,(有)坂東牧場,バンドウボクジョウ,(有)坂東牧場
"No.87
アルビアーノの2021
牡　3/25生　鹿毛
父：キズナ
母：アルビアーノ
母父：Harlan's Holiday
販売者：(有)ノーザンレーシング",87,アルビアーノの2021,牡,3/25,鹿,キズナ,アルビアーノ,Harlan's Holiday,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.88
ベイトゥベイの2021
牡　4/27生　栗毛
父：ダイワメジャー
母：ベイトゥベイ
母父：Sligo Bay
販売者：社台ファーム",88,ベイトゥベイの2021,牡,4/27,栗,ダイワメジャー,ベイトゥベイ,Sligo Bay,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.89
パンデイアの2021
めす　2/2生　鹿毛
父：ドレフォン
母：パンデイア
母父：ディープインパクト
販売者：ノーザンファーム",89,パンデイアの2021,めす,2/2,鹿,ドレフォン,パンデイア,ディープインパクト,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
