コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.132
ヒラボクウィン２０２１
牡　5月15日生　栗毛
父：カリフォルニアクローム
母：ヒラボクウィン
母父：ワイルドラッシュ
㈲辻牧場",7/26（火）,132,ヒラボクウィン２０２１,牡,栗,5月15日,カリフォルニアクローム,ヒラボクウィン,ワイルドラッシュ,㈲辻牧場,㈲辻牧場,132
"No.133
クィーンアマポーラ２０２１
牡　3月6日生　鹿毛
父：エピカリス
母：クィーンアマポーラ
母父：キングカメハメハ
鎌田　正嗣",7/26（火）,133,クィーンアマポーラ２０２１,牡,鹿,3月6日,エピカリス,クィーンアマポーラ,キングカメハメハ,鎌田　正嗣,㈲チェスナットファーム,133
"No.134
コイヲダキシメヨウ２０２１
♀　5月23日生　鹿毛
父：シャンハイボビー
母：コイヲダキシメヨウ
母父：ワークフォース
㈲酒井牧場",7/26（火）,134,コイヲダキシメヨウ２０２１,♀,鹿,5月23日,シャンハイボビー,コイヲダキシメヨウ,ワークフォース,㈲酒井牧場,㈲酒井牧場,134
"No.135
ヒアーズトウショウ２０２１
♀　1月8日生　黒鹿毛
父：ドレフォン
母：ヒアーズトウショウ
母父：フジキセキ
㈲エクセルマネジメント",7/26（火）,135,ヒアーズトウショウ２０２１,♀,黒鹿,1月8日,ドレフォン,ヒアーズトウショウ,フジキセキ,㈲エクセルマネジメント,エバグリーンセールスコンサインメント,135
"No.136
グレンダロッホ２０２１
牡　3月31日生　鹿毛
父：マクフィ
母：グレンダロッホ
母父：ディープインパクト
㈲梅田牧場",7/26（火）,136,グレンダロッホ２０２１,牡,鹿,3月31日,マクフィ,グレンダロッホ,ディープインパクト,㈲梅田牧場,㈱ＭＡＸトレーニングファーム,136
"No.137
ヒストリアドリーム２０２１
牡　4月10日生　栗毛
父：ヘニーヒューズ
母：ヒストリアドリーム
母父：アドマイヤムーン
㈲岡田牧場",7/26（火）,137,ヒストリアドリーム２０２１,牡,栗,4月10日,ヘニーヒューズ,ヒストリアドリーム,アドマイヤムーン,㈲岡田牧場,㈲目名共同トレーニングセンター,137
"No.138
シンコームーン２０２１
牡　4月15日生　鹿毛
父：リアルスティール
母：シンコームーン
母父：フォーティナイナーズサン
㈲高橋ファーム",7/26（火）,138,シンコームーン２０２１,牡,鹿,4月15日,リアルスティール,シンコームーン,フォーティナイナーズサン,㈲高橋ファーム,㈲高橋ファーム,138
"No.139
ミーシャレヴュー２０２１
♀　2月10日生　鹿毛
父：ルーラーシップ
母：ミーシャレヴュー
母父：アグネスタキオン
㈲飛野牧場",7/26（火）,139,ミーシャレヴュー２０２１,♀,鹿,2月10日,ルーラーシップ,ミーシャレヴュー,アグネスタキオン,㈲飛野牧場,カルペディエム　メイド（奥山牧場内）,139
"No.140
ポリネイター２０２１
牡　3月23日生　鹿毛
父：イスラボニータ
母：ポリネイター
母父：Motivator
㈲谷口牧場",7/26（火）,140,ポリネイター２０２１,牡,鹿,3月23日,イスラボニータ,ポリネイター,Motivator,㈲谷口牧場,㈲浦河育成センター,140
"No.141
アイランドクイーン２０２１
牡　2月11日生　黒鹿毛
父：アメリカンペイトリオット
母：アイランドクイーン
母父：ネオユニヴァース
㈱門別牧場",7/26（火）,141,アイランドクイーン２０２１,牡,黒鹿,2月11日,アメリカンペイトリオット,アイランドクイーン,ネオユニヴァース,㈱門別牧場,㈱門別牧場,141
